0040BF00	RCL      DL, CL                                           EAX=00000008 ECX=77AE3804 EDX=00000000 EBX=0040C716 ESP=0018FE48 EBP=0018FF0C ESI=0040C71B EDI=0018FE48 EFLAG=00000206
0040BF02	PUSHA                                                     EAX=00000008 ECX=77AE3804 EDX=00000000 EBX=0040C716 ESP=0018FE48 EBP=0018FF0C ESI=0040C71B EDI=0018FE48 EFLAG=00000206
0040BF03	AND      EDX, 0xfdc85d80                                  EAX=00000008 ECX=77AE3804 EDX=00000000 EBX=0040C716 ESP=0018FE28 EBP=0018FF0C ESI=0040C71B EDI=0018FE48 EFLAG=00000206
0040BF09	MOV      AL, [ESI-0x1]                                    EAX=00000008 ECX=77AE3804 EDX=00000000 EBX=0040C716 ESP=0018FE28 EBP=0018FF0C ESI=0040C71B EDI=0018FE48 EFLAG=00000246
0040BF0C	DEC      DH                                               EAX=00000073 ECX=77AE3804 EDX=00000000 EBX=0040C716 ESP=0018FE28 EBP=0018FF0C ESI=0040C71B EDI=0018FE48 EFLAG=00000246
0040BF0E	SUB      AL, BL                                           EAX=00000073 ECX=77AE3804 EDX=0000FF00 EBX=0040C716 ESP=0018FE28 EBP=0018FF0C ESI=0040C71B EDI=0018FE48 EFLAG=00000296
0040BF10	PUSHF                                                     EAX=0000005D ECX=77AE3804 EDX=0000FF00 EBX=0040C716 ESP=0018FE28 EBP=0018FF0C ESI=0040C71B EDI=0018FE48 EFLAG=00000212
0040BF11	BTC      DX, 0x4                                          EAX=0000005D ECX=77AE3804 EDX=0000FF00 EBX=0040C716 ESP=0018FE24 EBP=0018FF0C ESI=0040C71B EDI=0018FE48 EFLAG=00000212
0040BF16	PUSH     ESP                                              EAX=0000005D ECX=77AE3804 EDX=0000FF10 EBX=0040C716 ESP=0018FE24 EBP=0018FF0C ESI=0040C71B EDI=0018FE48 EFLAG=00000212
0040BF17	MOVZX    DX, AL                                           EAX=0000005D ECX=77AE3804 EDX=0000FF10 EBX=0040C716 ESP=0018FE20 EBP=0018FF0C ESI=0040C71B EDI=0018FE48 EFLAG=00000212
0040BF1B	ROR      AL, 0x7                                          EAX=0000005D ECX=77AE3804 EDX=0000005D EBX=0040C716 ESP=0018FE20 EBP=0018FF0C ESI=0040C71B EDI=0018FE48 EFLAG=00000212
0040BF1E	ROL      DH, 0x3                                          EAX=000000BA ECX=77AE3804 EDX=0000005D EBX=0040C716 ESP=0018FE20 EBP=0018FF0C ESI=0040C71B EDI=0018FE48 EFLAG=00000A13
0040BF21	SUB      AL, 0x30                                         EAX=000000BA ECX=77AE3804 EDX=0000005D EBX=0040C716 ESP=0018FE20 EBP=0018FF0C ESI=0040C71B EDI=0018FE48 EFLAG=00000212
0040BF23	SHR      DX, 0x9                                          EAX=0000008A ECX=77AE3804 EDX=0000005D EBX=0040C716 ESP=0018FE20 EBP=0018FF0C ESI=0040C71B EDI=0018FE48 EFLAG=00000282
0040BF27	XOR      AL, 0xce                                         EAX=0000008A ECX=77AE3804 EDX=00000000 EBX=0040C716 ESP=0018FE20 EBP=0018FF0C ESI=0040C71B EDI=0018FE48 EFLAG=00000246
0040BF29	ADC      DL, 0xdb                                         EAX=00000044 ECX=77AE3804 EDX=00000000 EBX=0040C716 ESP=0018FE20 EBP=0018FF0C ESI=0040C71B EDI=0018FE48 EFLAG=00000206
