SeqID:00000004 0117B820->0117B1F5                                                  EAX=003DF9DA ECX=00000000 EDX=0117ADCC EBX=5723BDD1 ESP=003DF90C EBP=003DF9D6 ESI=01222CE0 EDI=003DF90C EFLAG=00000202
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=003DF95C ECX=00000000 EDX=0117ADCC EBX=5723BDD1 ESP=003DF90C EBP=003DF9D6 ESI=01222CE0 EDI=003DF90C EFLAG=00000212
SeqID:00000012 0117BB24->0117C12C                                                  EAX=00000027 ECX=00000000 EDX=0117BB24 EBX=5723BDAA ESP=003DF90C EBP=003DF9D6 ESI=01222CE1 EDI=003DF90C EFLAG=00000206
SeqID:00000004 0117B820->0117B1F5                                                  EAX=00000006 ECX=00000000 EDX=0117BB24 EBX=5723BDAC ESP=003DF90C EBP=003DF9D2 ESI=01222CE2 EDI=003DF90C EFLAG=00000206
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=003DF95C ECX=00000000 EDX=0117BB24 EBX=5723BDAC ESP=003DF90C EBP=003DF9D2 ESI=01222CE2 EDI=003DF90C EFLAG=00000212
SeqID:00000003 0117AFB0->0117C9D8                                                  EAX=00000018 ECX=00000000 EDX=0117AFB0 EBX=5723BD94 ESP=003DF90C EBP=003DF9D2 ESI=01222CE3 EDI=003DF90C EFLAG=00000202
SeqID:00000008 0117D095->0117CC39                                                  EAX=00000006 ECX=00000000 EDX=0117AFB0 EBX=5723BD94 ESP=003DF90C EBP=003DF9D2 ESI=01222CE3 EDI=003DF90C EFLAG=00000212
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=00000006 ECX=00000000 EDX=0117AFB0 EBX=5723BD94 ESP=003DF90C EBP=003DF9D2 ESI=01222CE3 EDI=003DF90C EFLAG=00000212
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=00000028 ECX=00000000 EDX=00000212 EBX=5723BDB6 ESP=003DF90C EBP=003DF9D6 ESI=01222CE5 EDI=003DF90C EFLAG=00000202
SeqID:00000009 0117CF4A->0117BBB2                                                  EAX=0000003D ECX=00000000 EDX=0117CF4A EBX=5723BD79 ESP=003DF90C EBP=003DF9D6 ESI=01222CE6 EDI=003DF90C EFLAG=00000202
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=003DF9E0 ECX=00000000 EDX=D9B84000 EBX=5723BD79 ESP=003DF90C EBP=003DF9DE ESI=01222CE6 EDI=003DF90C EFLAG=00000206
SeqID:00000010 0117BD36->0117CFCF                                                  EAX=00000020 ECX=00000000 EDX=0117BD36 EBX=5723BD59 ESP=003DF90C EBP=003DF9DE ESI=01222CE7 EDI=003DF90C EFLAG=00000206
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=0000001C ECX=00000000 EDX=01170202 EBX=5723BD3D ESP=003DF90C EBP=003DF9E0 ESI=01222CE8 EDI=003DF90C EFLAG=00000212
